Moneyness,Type,iv,T
0.5517714507473859,P,80.05000000000001,0.132638755402819
0.6656530355822928,P,74.74,0.13263389902907696
0.7455853392785421,P,65.67142857142858,0.1326365254600205
0.8388870600169825,P,56.69157894736843,0.13263644083567158
0.8730649090675326,P,53.38,0.13263920112746216
0.9297241791926211,P,51.9975,0.13263702768112912
0.9599815683538877,P,51.41,0.13263416419499582
0.9648431481071977,P,46.525,0.13264082405664562
0.9878450836878836,P,48.57333333333333,0.1326353705816243
0.994225892437327,P,50.21333333333333,0.13263576179219375
1.0050568980983774,C,48.25,0.13263921150531094
1.0425365783732303,C,47.26666666666667,0.13263622981468806
1.0791116639191916,C,47.77,0.13263400756077776
1.1001372942891445,C,48.965,0.1326339673010622
1.1212107805724632,C,49.11,0.13263612811177022
1.1410683145119462,C,34.74,0.13264243212411592
1.1558947837451363,C,46.57,0.13263478955940883
1.1741700481521546,C,52.285,0.1326363093834766
1.2255300535320954,C,51.41,0.1326343969440008
1.2611522564649111,C,52.41,0.13263417430349583
1.2714743631741185,C,50.139375,0.1326347902308002
1.2819711290812084,C,51.985,0.13263733038950998
1.3027400846655273,C,47.666666666666664,0.13264141064804252
1.3594182433067286,C,48.215,0.13263940923897888
1.4919945169201503,C,54.35,0.13263770215943757
1.6676740653335405,C,62.88,0.13263809535579385
