Moneyness,Type,iv,T
0.8167585792321163,P,73.38,0.017696509905696253
0.9254608945213657,P,48.56,0.017700433683169824
0.9350510074693972,P,51.02,0.01768648423834512
0.9632008816498737,P,42.85999999999999,0.01769752899460035
0.9695485940399556,P,45.1225,0.017688520443569854
0.9901258169523734,P,42.43142857142857,0.017688972095017182
0.9929727693034066,P,41.89473684210526,0.01769119886876862
1.0103143514718147,C,41.24,0.017689261086605654
1.014828553389653,C,39.82,0.01769212208786473
1.0197208004448381,C,36.36,0.01770043194032499
1.0262015639021946,C,40.07,0.01768944562218504
1.0316892154882602,C,36.990833333333335,0.017697767766982703
1.0385228641279596,C,35.536,0.017698275597637335
1.0521432800164716,C,36.36,0.01770087950287728
1.0714099095756382,C,40.63,0.017688841103252466
1.078695536966809,C,42.02,0.017689274279412883
1.0797274180625094,C,39.52,0.017694651541942354
1.1085411349983991,C,43.58571428571429,0.01769427420698297
1.109063646610072,C,44.38,0.017688766255989048
1.1098152262512722,C,44.48666666666667,0.017688824604321408
1.1325338438137675,C,47.78666666666666,0.01769167547595508
1.138713310894355,C,47.41,0.017695299959439248
1.1705123488619282,C,53.9,0.017693363753897635
