Moneyness,Type,iv,T
0.8402763748602046,P,74.12,0.0173468995741121
0.8835679250352698,P,62.62,0.017349399383983572
0.9014631228549778,P,57.699090909090906,0.017346940356681117
0.9192327623748838,P,54.73,0.017341516528506604
0.9288463860577504,P,55.15,0.017347863335614878
0.9541614647933414,P,50.5,0.017349843318249805
0.9602491220988473,P,46.11,0.01735634671204401
0.9898467792308051,P,46.91,0.017347409942454428
0.9980436748470691,P,47.082580645161286,0.017347586121067304
1.0262917363431758,C,46.19,0.01734789442162902
1.0351284554600593,C,47.66,0.017340574980353386
1.039815505006227,C,44.48,0.017353191275635664
1.0878363271532439,C,47.92,0.017345789350267447
1.0905566588158315,C,46.31,0.017358121403402035
1.1030289553294703,C,46.87285714285714,0.017352263742670997
1.107582863899866,C,48.57,0.0173575374553198
1.129626692796344,C,52.43,0.017350387291809266
